# 未分类频道列表 (按源分类分组)

未分类,#genre#
CGTN英语,http://106.116.242.252:9999/rtp/239.254.200.12:8056
CGTN英语,http://106.45.2.14:4000/rtp/239.121.4.125:8014
CGTN英语,http://106.59.2.81:55555/udp/239.200.200.30:8500
CGTN英语,http://106.59.2.81:55555/udp/239.200.201.182:4220
CGTN英语,http://106.59.3.118:55555/udp/239.200.200.30:8500
CGTN英语,http://106.59.3.118:55555/udp/239.200.201.182:4220
CGTN英语,http://110.157.221.248:8088/udp/238.125.5.69:5140
CGTN英语,http://111.123.103.198:8881/rtp/238.255.2.207:5999
CGTN英语,http://111.162.204.194:8686/rtp/225.1.1.27:5002
CGTN英语,http://111.226.232.106:10010/rtp/239.254.200.12:8056
CGTN英语,http://112.109.206.28:9999/rtp/239.255.40.5:8208
CGTN英语,http://112.192.73.72:8484/rtp/239.0.0.49:5140
CGTN英语,http://112.192.73.90:8484/rtp/239.0.0.49:5140
CGTN英语,http://112.192.73.91:8484/rtp/239.0.0.49:5140
CGTN英语,http://112.66.88.58:8188/rtp/239.253.64.17:5140
CGTN英语,http://113.119.27.49:58888/udp/239.77.0.199:5146
CGTN英语,http://113.58.7.33:8188/rtp/239.254.96.16:7112
CGTN英语,http://114.241.222.27:4022/rtp/239.3.1.215:4220
CGTN英语,http://114.241.244.154:4022/rtp/239.3.1.215:4220
CGTN英语,http://114.254.35.218:18888/rtp/239.3.1.215:4220
CGTN英语,http://114.254.35.246:8888/rtp/239.3.1.215:4220
CGTN英语,http://115.171.80.97:1688/rtp/225.1.8.116:8056
CGTN英语,http://116.21.205.63:8188/udp/239.77.0.199:5146
CGTN英语,http://116.237.188.113:7086/rtp/239.45.1.194:5140
CGTN英语,http://117.12.150.129:4022/rtp/225.1.1.27:5002
CGTN英语,http://117.174.25.254:8188/rtp/239.0.0.49:5140
CGTN英语,http://117.39.37.72:4022/rtp/239.111.205.32:5140
CGTN英语,http://117.40.96.241:8008/udp/239.252.219.194:5140
CGTN英语,http://121.207.53.220:4022/rtp/239.61.2.19:8108
CGTN英语,http://121.29.141.88:4022/rtp/239.253.92.15:8011
CGTN英语,http://121.29.169.217:7777/rtp/239.253.92.15:8011
CGTN英语,http://121.29.169.217:8888/rtp/239.253.92.15:8011
CGTN英语,http://121.29.169.237:7777/rtp/239.253.92.15:8011
CGTN英语,http://121.29.169.237:8888/rtp/239.253.92.15:8011
CGTN英语,http://121.29.169.9:7777/rtp/239.253.92.15:8011
CGTN英语,http://121.29.169.9:8888/rtp/239.253.92.15:8011
CGTN英语,http://121.29.215.215:7777/rtp/239.253.92.15:8011
CGTN英语,http://121.29.215.215:8888/rtp/239.253.92.15:8011
CGTN英语,http://121.57.231.78:8088/rtp/239.29.1.143:5000
CGTN英语,http://123.145.23.163:8001/udp/225.0.4.12:7980
CGTN英语,http://123.145.6.155:8001/udp/225.0.4.12:7980
CGTN英语,http://124.162.223.80:4022/udp/225.0.4.12:7980
CGTN英语,http://125.71.164.143:6868/udp/239.93.0.104:5140
CGTN英语,http://125.76.196.134:8899/rtp/239.111.205.32:5140
CGTN英语,http://125.76.196.201:8899/rtp/239.111.205.32:5140
CGTN英语,http://125.76.196.51:8899/rtp/239.111.205.32:5140
CGTN英语,http://125.76.196.59:8899/rtp/239.111.205.32:5140
CGTN英语,http://171.213.216.99:4022/udp/239.93.0.104:5140
CGTN英语,http://171.213.225.213:4022/udp/239.93.0.104:5140
